I don’t know if you heard,"phrase used to introduce a piece of information"
fill me in,"tell me about it"
a bad feeling,"a sense or feeling that something bad is going to happen"
weird,"strange, unusual"
kick out,"make or force someone leave when they don’t want to"
creep me out,"make me feel uncomfortable and a bit scared"
you'll never guess,"phrase used to introduce a piece of news"
the scare the heck out of me,"cause someone to feel a lot of fear"
bizarre,"strange or unusual"
creepy,"strange or scary, causing people to feel nervous and afraid"
vampire,"a dead person who drinks the blood of living people"
guess what,"phrase used to introduce an interesting or surprising piece of information"
such a mess,"very dirty, disordered"
tidy up,"put things in place, organize"
spotless,"perfectly clean"
in the middle of something,"busy doing something at the moment"
chores,"common house tasks"
groceries,"food that you buy at a store"
immaculate,"perfectly clean, having no dirt at all"
do the laundry,"wash the dirty clothes"
dish detergent,"soap used to wash the plates, knives, forks, bowls, etc."
trash,"garbage (AmE)"
rubbish,"garbage (BrE)"
go over,"revise, check"
through the roof,"suddenly very high"
off the charts,"very high"
expenditures,"amount of money spent on something"
out of control,"not in control"
look into,"investigate, try to get information about something"
go on and on,"continues"
take care of,"do something about"
revenue,"amount of money paid to a business"
cash flow,"the movement of money into and out of a business"
the bottom line,"the net profit; the amount of money a business makes after expenses"
finances,"the amount of money you have and how well it is organized"
income,"the amount of money a person or a company makes"
assets,"things of value that are owned by a company"
trouble,"disturb or bother"
recession,"a period of time when the economy of a country is bad"
hit me pretty hard,"had a strong, negative affect on me"
debt,"the amount of money you owe to a person, bank, company, etc."
on top of all that,"besides that, in addition to"
broke,"not have any money"
borrow,"take and use some money, and return the equal amount of money at a later time"
pay back,"return the money you borrowed"
a loan,"amount of money borrowed"
take out a loan,"borrow money"
unemployed,"having no job"
downturn,"a time when the economy is worse than usual"
feel terrible,"sorry"
mean,"intend, plan"
explode,"suddenly break apart"
accident,"an event that is not planned or intended"
familiar,"probably known, but not clearly remembered"
place,"house"
coincidence,"situation when two or more things happen at the same time in an unplanned way"
knock over,"make something fall over"
regret,"feel sad or sorry about something"
apologetic,"feeling or showing regret, showing an apology"
feel guilty,"feel responsible for doing something bad"
love at first sight,"falling in love the first time you see someone"
hurry up,"move faster"
make a left,"turn left"
step on it,"drive a lot faster"
nuts,"crazy"
speed up,"go faster"
have a fit,"get very angry"
cut through,"quickly go past or through something that blocks you"
packed,"full, having lots of cars"
road rage,"be very angry at other drivers while driving"
back street,"small street that is away from the main streets"
u-turn,"a 180 degree turn in the car"
to back up,"to move backwards, the opposite of go forwards"
to pass,"to drive past another car on the road"
to park,"to stop the car and turn off the engine"
married,"joined in marriage"
it’s about time,"finally"
bridesmaid,"female friends or relatives who helps the bride at a wedding"
aisle,"a passage between sections of seats"
flower girl,"a girl at a wedding that throws flower petals down the aisle"
ring bearer,"a boy at a wedding that holds the wedding rings"
reception,"party held to celebrate something or to welcome people"
groom,"a man who is about to be married"
bride,"female who is about to get married"
gorgeous,"very beautiful or attractive"
groomsman,"male friend or relative who helps the groom on the wedding day"
maid of honor,"female friend or relative who acts as a witness at the wedding"
best man,"male friend or relative who acts as a witness at the wedding"
ushers,"men who help guest find their seats"
vows,"promises that the bride and groom make to each other during the wedding ceremony"
protest,"an event where people gather together to show disapproval of something"
break out,"start suddenly"
bailout,"the act of saving a company from money problems"
injustice,"an unfair situation"
outrage,"something that is morally wrong"
mismanage,"manage badly"
have the nerve,"dare to"
placard,"sign people hold at protests, usually a piece of cardboard on a stick"
rally,"public meeting in support or opposition of something"
demonstration,"event where people gather together to show that they support or oppose something"
demonstrators,"people who go to a demonstration or protest"
opponent,"a person who opposes something or someone"
proponent,"person who supports someone or something"
get a load of,"look at (informal)"
license,"official document that shows you have permission to drive a car"
eggnog,"traditional Christmas drink containing eggs, cream, sugar and rum"
vehicle,"machine use to carry people, i.e. a car or truck"
step out,"briefly go out of a place"
take that tone,"speak in that tone of voice"
invoice,"official document that shows you have paid for something you bought"
arrest,"the act of legally taking someone to jail"
pout,"push out your lips to show that you are unhappy"
sleigh,"large, open vehicle that is pulled by horses over snow or ice"
handcuffs,"a set of two metal rings that are used to join a person's hands together"
prison,"a building where criminals are kept as punishment"
read someone's rights,"tell someone their legal rights, usually when they are arrested"
DUI,"driving under the influence of alcohol or drugs"
speeding ticket,"a piece of paper the police give if you are driving too fast"
seem to be,"appears or is"
struggle,"try very hard"
20/20 vision,"perfect eyesight"
make out,"see"
far sighted,"see far-away things more clearly than things nearby"
as blind as a bat,"have really poor vision"
vision,"ability to see things"
blurry,"not clear"
pick out,"choose"
prescription,"a message written by a doctor that tells people what medicine to take"
check-up,"regular examination by a doctor to make sure a person is healthy"
short sighted,"unable to see things far away (AmE)"
nearsighted,"unable to see things far away (BrE)"
contacts,"lenses you wear directly on your eyes to help you see"
optometrist,"eye doctor"
prescribe,"officially tell someone to use a medicine or treatment"
lenses,"clear, curved piece of glass that helps people see better"



drive sales,"Increase sales
How do you intend to drive sales... Roger?"
In the market,"In the industry"
To match the competitors,"be the as good as or better than others companies in the same industry. 
Well, in fact, we’re the most expensive in the market, so maybe we need to lower our prices to match the competitors?"
Will never fly,"Will not work. Will not be approved. " 
Promotion,"Something done to make people aware of a product"
a sales promotion. Maybe a two-for-one offer or something like that!,"来个促销活动吧！比如买一送一，或者类似的优惠！"
dammit,"used to express anger or frustration"
Be here any minute,"Will arrive very soon. "
To consider,"Thinking about"
Brilliant,"Excellent"
Competitive,"As good as or better than others of the same time."
Wind sales,"Make sales successfully."
Sales strategy,"Plans for a company's sales activities."
To outsell,"To sell more than others"
Customer loyalty,"When the customer buys the same brand over and over"
concrete solutions,"a real or specific solution to a problem"
resources,"money
we just don’t have the resources to hire you an assistant"
understaffed,"not enough people to do the job"
the timing is just not right,"it is not a good time now
The timing is just not right. The economy is bad, and it’s too risky to take on new staff"
weight off my shoulders,"remove pressure or stress
what if we hire an intern? She would take some of the weight off my shoulders"
recent graduate,""
give me a hand,"help
She could give me a hand with some of these projects and we could keep our costs down."
that sounds reasonable,"is ok"
recruit,"hire"
overworked,"working too much"
short staffed,"not enough people to do the job"
cut costs,"reduce spending"
overstaffed,"having too many employees"
receipt,"paper showing payment details"
